"smCOG name","main annotation","TAILORING","TRANSPORT","CORE","REGULATOR","OTHER"
"SMCOG10279","OTHER","1","2","0","0","164"
"SMCOG10280","TAILORING","71","0","0","0","95"
"SMCOG10281","OTHER","45","0","0","0","121"
"SMCOG10282","OTHER","0","12","0","1","153"
"SMCOG10283","OTHER","0","2","0","0","164"
"SMCOG10284","TRANSPORT","0","105","0","0","61"
"SMCOG10285","TRANSPORT","0","126","0","8","31"
"SMCOG10286","TRANSPORT","0","118","0","0","47"
"SMCOG10287","CORE","0","0","117","0","47"
"SMCOG10288","TAILORING","120","0","6","0","38"
"SMCOG10289","OTHER","59","0","0","0","105"
"SMCOG10290","OTHER","0","0","15","0","148"
"SMCOG10291","OTHER","22","0","0","21","120"
"SMCOG10292","OTHER","0","0","0","42","120"
"SMCOG10293","REGULATOR","0","0","0","140","22"
"SMCOG10294","CORE","0","0","105","0","57"
"SMCOG10295","OTHER","5","0","0","1","155"
"SMCOG10296","REGULATOR","0","0","0","118","43"
"SMCOG10297","OTHER","3","0","0","0","158"
"SMCOG10298","OTHER","28","0","0","3","129"
"SMCOG10299","OTHER","1","1","0","0","158"
"SMCOG10300","CORE","1","0","70","0","88"
"SMCOG10301","OTHER","9","0","0","0","149"
"SMCOG10302","TAILORING","131","0","0","0","27"
"SMCOG10303","OTHER","31","0","0","0","126"
"SMCOG10304","TRANSPORT","0","147","0","0","9"
"SMCOG10305","OTHER","0","0","0","0","156"
"SMCOG10306","OTHER","1","0","0","0","155"
"SMCOG10307","TAILORING","130","0","0","0","25"
"SMCOG10308","MIXED","22","0","55","0","77"
"SMCOG10309","TRANSPORT","0","118","0","0","36"
"SMCOG10310","TAILORING","70","0","0","0","84"
"SMCOG10311","TAILORING","128","0","0","0","26"
"SMCOG10312","CORE","0","0","79","0","74"
"SMCOG10313","REGULATOR","0","0","0","143","10"
"SMCOG10314","TAILORING","101","0","0","1","50"
"SMCOG10315","REGULATOR","0","0","0","130","22"
"SMCOG10316","TRANSPORT","1","118","0","0","32"
"SMCOG10317","OTHER","25","0","0","0","126"
"SMCOG10318","OTHER","35","0","10","0","106"
"SMCOG10319","REGULATOR","0","0","0","132","18"
"SMCOG10320","OTHER","21","0","3","0","126"
"SMCOG10321","MIXED","0","60","0","0","90"
"SMCOG10322","CORE","2","0","66","0","81"
"SMCOG10323","OTHER","0","0","0","0","149"
"SMCOG10324","TAILORING","146","0","0","0","3"
"SMCOG10325","TRANSPORT","0","116","0","0","33"
"SMCOG10326","OTHER","0","0","0","1","147"
"SMCOG10327","TRANSPORT","0","110","0","0","38"
"SMCOG10328","REGULATOR","0","0","0","125","22"
"SMCOG10329","OTHER","36","0","4","0","106"
"SMCOG10330","OTHER","0","0","0","0","145"
"SMCOG10331","REGULATOR","0","0","0","131","14"
"SMCOG10332","TAILORING","61","0","0","0","83"
"SMCOG10333","OTHER","0","0","0","56","88"
"SMCOG10334","OTHER","0","0","0","0","144"
"SMCOG10335","OTHER","0","0","0","0","142"
"SMCOG10336","OTHER","0","1","0","0","141"
"SMCOG10337","OTHER","8","0","46","0","88"
"SMCOG10338","REGULATOR","26","0","0","95","20"
"SMCOG10339","OTHER","13","0","0","0","129"
"SMCOG10340","OTHER","0","0","0","0","141"
"SMCOG10341","TRANSPORT","0","87","0","0","54"
"SMCOG10342","OTHER","0","49","0","1","91"
"SMCOG10343","TAILORING","124","0","0","0","16"
"SMCOG10344","OTHER","4","0","0","0","135"
"SMCOG10345","OTHER","1","0","0","0","138"
"SMCOG10346","OTHER","0","7","0","1","131"
"SMCOG10347","TRANSPORT","0","95","0","0","43"
"SMCOG10348","TAILORING","128","0","0","0","10"
"SMCOG10349","OTHER","0","0","0","0","138"
"SMCOG10350","TAILORING","62","0","0","0","75"
"SMCOG10351","OTHER","1","0","0","0","136"
"SMCOG10352","OTHER","0","0","0","0","137"
"SMCOG10353","TAILORING","77","0","0","0","59"
"SMCOG10354","REGULATOR","23","0","0","73","40"
"SMCOG10355","OTHER","0","0","0","9","127"
"SMCOG10356","REGULATOR","0","0","0","86","50"
"SMCOG10357","CORE","7","0","89","0","39"
"SMCOG10358","OTHER","0","0","0","0","135"
"SMCOG10359","TAILORING","127","0","0","0","7"
"SMCOG10360","OTHER","0","0","0","0","134"
"SMCOG10361","TAILORING","97","0","0","0","36"
"SMCOG10362","TAILORING","68","0","8","0","56"
"SMCOG10363","OTHER","18","0","0","0","114"
"SMCOG10364","TAILORING","122","0","0","0","10"
"SMCOG10365","TAILORING","104","2","0","0","26"
"SMCOG10366","OTHER","34","0","0","0","98"
"SMCOG10367","OTHER","3","0","0","0","128"
"SMCOG10368","OTHER","22","0","0","0","109"
"SMCOG10369","OTHER","0","1","0","5","125"
"SMCOG10370","OTHER","40","0","0","0","91"
"SMCOG10371","TAILORING","119","0","0","0","12"
"SMCOG10372","OTHER","24","0","0","0","106"
"SMCOG10373","OTHER","1","0","0","0","128"
"SMCOG10374","OTHER","0","0","0","0","129"
"SMCOG10375","REGULATOR","0","0","0","86","43"
"SMCOG10376","OTHER","0","12","0","24","93"
"SMCOG10377","OTHER","4","0","0","0","125"
"SMCOG10378","CORE","3","0","90","0","36"
"SMCOG10379","CORE","0","0","104","0","24"
"SMCOG10380","TAILORING","89","0","0","0","39"
"SMCOG10381","OTHER","38","0","0","0","90"
"SMCOG10382","TAILORING","100","0","0","0","28"
"SMCOG10383","OTHER","0","0","0","0","128"
"SMCOG10384","OTHER","11","0","0","0","116"
"SMCOG10385","OTHER","0","49","0","0","78"
"SMCOG10386","TRANSPORT","0","115","0","0","12"
"SMCOG10387","TAILORING","84","0","0","0","43"
"SMCOG10388","OTHER","4","0","0","2","120"
"SMCOG10389","OTHER","0","0","0","1","125"
"SMCOG10390","OTHER","0","0","0","0","125"
"SMCOG10391","REGULATOR","0","0","0","104","21"
"SMCOG10392","REGULATOR","0","0","0","103","21"
"SMCOG10393","OTHER","5","0","11","0","108"
"SMCOG10394","TAILORING","109","0","0","0","15"
